,Name,Address,Latitude,Longitude
0,ALDI,"1530 Southwest Arvonia Place, Topeka",39.0392027,-95.766416
1,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
2,Target Grocery,"2120 Southwest Wanamaker Road, Topeka",39.027521500000006,-95.7604998
3,TT Asian Grocery - Indian Fresh Market,"2831 Southwest Wanamaker Road, Topeka",39.015590700000004,-95.7642759
4,Apple Market,"1945 Southwest Gage Boulevard, Topeka",39.03168730000001,-95.72558320000002
5,Walmart Neighborhood Market,"335 Southwest Macvicar Avenue, Topeka",39.06,-95.7083333
6,Family Dollar,"1313 Southwest 21st Street, Topeka",39.029126700000006,-95.69475909999998
7,Walmart Supercenter,"1301 Southwest 37th Street, Topeka",38.9984741,-95.6937866
8,Tilton's Westside Thriftway,"1100 Southwest 6th Avenue, Topeka",39.0556825,-95.6877882
9,Family Dollar,"501 Southwest 21st Street, Topeka",39.029078000000005,-95.684082
10,ALDI,"105 Southwest 29th Street, Topeka",39.01401970000001,-95.6827439
11,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.67169100000001
12,La Unica Supermarket,"1706 Southeast 6th Avenue, Topeka",39.046624,-95.6530263
13,Walmart Supercenter,"2630 Southeast California Avenue, Topeka",39.0205841,-95.648674
