,Name,Address,Latitude,Longitude
0,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.7657039
1,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
2,CJ Banks,"1801 Southwest Wanamaker Road, Topeka",39.03265529999999,-95.7663738
3,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
4,Kohl's,"6130 Southwest 17th Street, Topeka",39.0373594,-95.7650404
5,Christopher & Banks,"1801 Southwest Wanamaker Road #F17, Topeka",39.032542600000006,-95.7668309
6,Walmart Pharmacy,"1501 Southwest Wanamaker Road, Topeka",39.03980600000001,-95.7639018
7,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.7607064
8,Target,"2120 Southwest Wanamaker Road, Topeka",39.028363299999995,-95.7589902
9,Ross Dress for Less,"1930 Southwest Wanamaker Road, Topeka",39.0307269,-95.7608517
10,T.J. Maxx,"2170 Southwest Wanamaker Drive, Topeka",39.02671100000001,-95.760474
11,Walmart Pharmacy,"335 Southwest Macvicar Avenue, Topeka",39.059907200000005,-95.7085084
12,Walmart Neighborhood Market,"335 Southwest Macvicar Avenue, Topeka",39.06,-95.7083333
13,Gordmans,"3245 Southwest Topeka Boulevard, Topeka",39.00881510000001,-95.6906512
14,Walmart Supercenter,"1301 Southwest 37th Street, Topeka",38.9984741,-95.6937866
15,Walmart Pharmacy,"1301 Southwest 37th Street, Topeka",38.9983562,-95.6940114
16,Walmart Pharmacy,"2600 Northwest Rochester Road, Topeka",39.093865,-95.671733
17,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.67169100000001
18,Walmart Supercenter,"2630 Southeast California Avenue, Topeka",39.0205841,-95.648674
19,Walmart Pharmacy,"2630 Southeast California Avenue, Topeka",39.020270000000004,-95.648211
