,Name,Address,Latitude,Longitude
0,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.76570389999999
1,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
2,CJ Banks,"1801 Southwest Wanamaker Road, Topeka",39.03265529999999,-95.7663738
3,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
4,Kohl's,"6130 Southwest 17th Street, Topeka",39.0373594,-95.76504039999999
5,Christopher & Banks,"1801 Southwest Wanamaker Road #F17, Topeka",39.0325426,-95.7668309
6,Walmart Pharmacy,"1501 Southwest Wanamaker Road, Topeka",39.03980600000001,-95.7639018
7,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.76070639999999
8,JCPenney,"1821 Southwest Wanamaker Road, Topeka",39.0328446,-95.76570389999999
9,Target,"2120 Southwest Wanamaker Road, Topeka",39.0283633,-95.75899020000001
10,CJ Banks,"1801 Southwest Wanamaker Road, Topeka",39.03265529999999,-95.7663738
11,Dillard's,"1791 Southwest Wanamaker Road, Topeka",39.0336937,-95.7643793
12,Christopher & Banks,"1801 Southwest Wanamaker Road #F17, Topeka",39.0325426,-95.7668309
13,Ross Dress for Less,"1930 Southwest Wanamaker Road, Topeka",39.0307269,-95.76085169999999
14,T.J. Maxx,"2170 Southwest Wanamaker Drive, Topeka",39.02671100000001,-95.760474
15,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.76070639999999
16,Walmart Supercenter,"1501 Southwest Wanamaker Road, Topeka",39.0398354,-95.7646231
17,Kohl's,"6130 Southwest 17th Street, Topeka",39.0373594,-95.76504039999999
18,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.76070639999999
19,Walmart Pharmacy,"1501 Southwest Wanamaker Road, Topeka",39.03980600000001,-95.7639018
20,Target,"2120 Southwest Wanamaker Road, Topeka",39.0283633,-95.75899020000001
21,Ross Dress for Less,"1930 Southwest Wanamaker Road, Topeka",39.0307269,-95.76085169999999
22,Bed Bath & Beyond,"1900 Southwest Wanamaker Road, Topeka",39.0333652,-95.76070639999999
23,T.J. Maxx,"2170 Southwest Wanamaker Drive, Topeka",39.02671100000001,-95.760474
24,Walmart Pharmacy,"335 Southwest Macvicar Avenue, Topeka",39.0599072,-95.7085084
25,Walmart Neighborhood Market,"335 Southwest Macvicar Avenue, Topeka",39.06,-95.70833329999999
26,Walmart Neighborhood Market,"335 Southwest Macvicar Avenue, Topeka",39.06,-95.70833329999999
27,Walmart Pharmacy,"335 Southwest Macvicar Avenue, Topeka",39.0599072,-95.7085084
28,Gordmans,"3245 Southwest Topeka Boulevard, Topeka",39.00881510000001,-95.69065119999999
29,Walmart Supercenter,"1301 Southwest 37th Street, Topeka",38.9984741,-95.6937866
30,Walmart Pharmacy,"1301 Southwest 37th Street, Topeka",38.9983562,-95.69401140000001
31,Gordmans,"3245 Southwest Topeka Boulevard, Topeka",39.00881510000001,-95.69065119999999
32,Walmart Supercenter,"1301 Southwest 37th Street, Topeka",38.9984741,-95.6937866
33,Walmart Pharmacy,"1301 Southwest 37th Street, Topeka",38.9983562,-95.69401140000001
34,Walmart Pharmacy,"2600 Northwest Rochester Road, Topeka",39.093865,-95.67173299999999
35,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
36,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
37,Walmart Pharmacy,"2600 Northwest Rochester Road, Topeka",39.093865,-95.67173299999999
38,Walmart Pharmacy,"2600 Northwest Rochester Road, Topeka",39.093865,-95.67173299999999
39,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
40,Walmart Supercenter,"2600 Northwest Rochester Road, Topeka",39.09366569999999,-95.671691
41,Walmart Pharmacy,"2600 Northwest Rochester Road, Topeka",39.093865,-95.67173299999999
42,Walmart Supercenter,"2630 Southeast California Avenue, Topeka",39.0205841,-95.648674
43,Walmart Pharmacy,"2630 Southeast California Avenue, Topeka",39.02027,-95.64821099999999
44,Walmart Pharmacy,"2630 Southeast California Avenue, Topeka",39.02027,-95.64821099999999
45,Walmart Supercenter,"2630 Southeast California Avenue, Topeka",39.0205841,-95.648674
